央视频道,#genre#
CCTV10-科教,http://101.66.194.144:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://101.66.198.184:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://101.74.28.74:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://125.43.247.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://116.117.104.234:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://116.117.106.67:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://101.66.194.144:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://101.74.28.74:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://125.43.247.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://116.117.104.234:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://116.117.106.67:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://101.66.194.144:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://182.114.50.25:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://101.74.28.74:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://125.43.247.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://116.117.104.234:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://116.117.106.67:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://101.66.194.144:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://182.114.50.25:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://101.66.198.184:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://101.74.28.74:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://125.43.247.242:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://116.117.106.67:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://101.66.194.144:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://101.66.198.184:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://101.66.194.144:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://101.66.198.184:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://101.74.28.74:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://125.43.247.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://101.74.28.74:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
上海卫视,http://116.117.106.67:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://101.66.194.144:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://101.66.198.184:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
